Date (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Station Name (station_name),Latitude (latitude),Longitude (longitude),Basin (basin),Sub Basin (sub_basin),Source (source),Depth to Water Level (currentlevel),Level Difference (level_diff)
"2014-11-04","Chhattisgarh","22","Bastar","374","Pharasgaon","19.85833","81.6375","Godavari","Indravati","CGWB","2.56","0.56"
"2013-08-24","Maharashtra","27","Pune","490","Belhe","19.13333","74.19306","Krishna","Bhima Upper","CGWB","16.33","-1.09"
"2013-11-04","Goa","30","South Goa","552","Collem(kolamba)","15.33417","74.24417","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","7.48","5.13"
"2016-05-14","Uttar Pradesh","9","Etah","138","Jaithra Pz-GWD","27.50972","79.01944","Ganga","Upstream Of Gomti Confluece To Muzaffarnagar","CGWB","8.44","0.6"
"2018-01-13","Madhya Pradesh","23","Katni","413","Majhgawan1","23.82167","80.49861","Ganga","Sone","CGWB","7.07","0.95"
"2020-08-24","Bihar","10","Gaya","196","Magra","24.43361","84.48556","Ganga","Gandak And Others","CGWB","0.6","-2.87"
"2017-11-04","Uttar Pradesh","9","Azamgarh","123","Kanauna","25.86667","82.9","Ganga","Ghaghara Confluence To Gomti Confluence","CGWB","2.14","1.18"
"2013-04-16","Kerala","32","Ernakulam","555","Illithode","10.20139","76.52778","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","7.62","-0.6"
"2020-08-24","Odisha","21","Mayurbhanj","365","Mahuldia","21.42778","86.16583","Brahmani And Baitarni","Baitarni","CGWB","1.8","-3.14"
"2019-08-19","Maharashtra","27","Ahmednagar","466","Ghogargaon-1","18.81194","74.89611","Krishna","Bhima Upper","CGWB","1.3","-7.08"
"2020-11-23","Tamil Nadu","33","Cuddalore","570","Kurinjipadi","11.5625","79.59167","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","2.32","-3.73"
"2018-08-30","Madhya Pradesh","23","Ujjain","435","Gogapur Npz","23.55667","75.51611","Ganga","Chambal Upper","CGWB","2.86","-3.39"
"2014-01-04","Maharashtra","27","Ratnagiri","492","Pachad","17.48333","73.46694","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","0.75","-0.97"
"2016-05-14","Jharkhand","20","Dumka","326","Hansdiha pwdib","24.6","87.07083","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","8.73","3.82"
"2019-12-31","Delhi","7","South West","84","PUSA (NRL)","28.63917","77.16222","Ganga","Yamuna Upper","CGWB","30.33","-0.5"
"2013-05-18","Tamil Nadu","33","Ramanathapuram","583","Ramanathapuram2","9.36667","78.78333","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","0.68","-2.91"
"2015-05-25","Tamil Nadu","33","Ramanathapuram","583","Ramanathapuram2","9.36667","78.78333","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","4.1","1.82"
"2016-08-24","Karnataka","29","Koppal","543","Kengunti","15.80833","76.25833","Krishna","Tungabhadra Lower","CGWB","4.1","0.7"
"2017-05-14","Maharashtra","27","Dhule","474","Nizampur","21.1","74.33028","Tapi","Tapi Middle","CGWB","8.6","4.3"
"2019-08-21","Kerala","32","Kannur","557","Kannapuram","11.97778","75.30833","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","0.75","-2.23"
"2019-01-09","Odisha","21","Khordha","362","Patia","20.39806","85.79111","Mahanadi","Mahanadi Lower","CGWB","6.57","3.32"
"2015-01-06","Kerala","32","Thiruvananthapuram","565","Nemom","8.45694","77.00556","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","4.31","1.56"
"2017-01-06","Odisha","21","Puri","369","P-31 Sweta Ganga","19.80111","85.81861","Mahanadi","Mahanadi Lower","CGWB","5.77","3.67"
"2013-11-04","Telangana","36","Medak","513","Peroor","18.025","78.21944","Godavari","Manjra","CGWB","0.75","0.17"
"2015-01-04","Delhi","7","North","80","Burarai-Pz","28.76","77.2075","Ganga","Yamuna Upper","CGWB","3.81","0.15"
"2020-11-29","Gujarat","24","Kheda","450","Kheda","22.7375","72.70417","Sabarmati","Sabarmati Upper","CGWB","2.05","-1.77"
"2020-01-09","Odisha","21","Puri","369","Kalyanpur","20.05556","85.75417","Mahanadi","Mahanadi Lower","CGWB","1.7","0.6"
"2018-01-09","Odisha","21","Ganjam","354","Jayantipur","19.09389","84.61333","East Flowing Rivers Between Mahanadi And Pennar","Vamsadhara And Other","CGWB","2.33","2.24"
